User Name,Report Name,Report Folder Path,Report Type,Is Scheduled,Last Execution Date,No. of Execution,Connection,Universe,Calculation View
user134,PO Details,/User Folders/user134/Reports,Crystal,0,2025-05-25 06:27:00,23,HANA_CONN2,U_FINANCIALS,CV_FIN
user14,Production Plan,/User Folders/user14/Analysis,WebI,1,2025-05-12 06:53:00,8,EXT_REPORT_CONN,U_SERVICE,
user35,Production Plan,/User Folders/user35/Dashboards,Crystal,1,2024-11-18 00:16:00,3,ORACLE_LINK,U_HR_MASTER,CV_HR
user146,Forecast Report 12,/User Folders/user146/Reports,Crystal,1,2025-11-06 21:56:00,1,XYZ,U_PRODUCTION,CV_PROD
user17,Customer Insights 1,/User Folders/user17/Analysis,WebI,0,2023-11-18 10:21:00,5,HANA_CONN2,U_FINANCIALS,CV_FIN
user73,Inventory Snapshot,/SAP Template/HR,WebI,1,2025-09-26 13:42:00,9,XYZ,U_INVENTORY,CV_INV
user140,PO Details,/User Folders/user140/Reports,WebI,1,2024-06-14 03:24:00,10,XYZ,U_SALES_ANALYSIS,CV_SLS
user21,PO Details,/SAP Template/Finance,Crystal,1,2025-03-30 14:11:00,5,ECC_CONN,U_MANUFACTURING,
user142,GL Trial Balance,/User Folders/user142/Analysis,Crystal,1,2025-08-08 18:45:00,1,API_GATEWAY,U_FINANCIALS,
user237,HR Attrition 4,/SAP Template/HR,WebI,0,2025-10-18 20:19:00,4,API_GATEWAY,U_MANUFACTURING,
user9,HR Attrition 17,/User Folders/user9/Reports,WebI,0,2023-07-26 22:48:00,21,EXT_REPORT_CONN,U_HR_MASTER,
user20,Customer Insights,/User Folders/user20/Analysis,WebI,1,2024-06-02 23:45:00,8,ORACLE_LINK,U_INVENTORY,CV_INV
user112,Inventory Snapshot,/User Folders/user112/Analysis,WebI,0,2024-08-18 13:54:00,1,Move HANA ALL,U_MANUFACTURING,CV_CAP
user167,Customer Insights,/User Folders/user167/Analysis,Crystal,0,2023-03-13 16:12:00,1,ECC_CONN,U_SALES_ANALYSIS,
user76,GL Trial Balance 7,/SAP Template/Inventory,Crystal,1,2024-12-27 14:40:00,1,API_GATEWAY,U_PRODUCTION,
user108,PO Details 3,/User Folders/user108/Reports,Crystal,1,2023-03-22 04:55:00,3,ORACLE_LINK,U_HR_MASTER,CV_HR
user38,Production Plan 3,/User Folders/user38/Dashboards,WebI,0,2023-07-25 06:24:00,2,EXT_REPORT_CONN,U_INVENTORY,
user8,Capacity Planning 4,/User Folders/user8/Dashboards,Crystal,0,2023-12-09 16:46:00,32,XYZ,U_INVENTORY,CV_INV
user43,Inventory Snapshot,/User Folders/user43/Reports,WebI,1,2024-11-15 07:16:00,30,Move HANA ALL,U_SALES_ANALYSIS,CV_SLS
user27,Capacity Planning,/User Folders/user27/Reports,Crystal,0,2023-05-04 20:37:00,5,ECC_CONN,U_PROCUREMENT,
user111,HR Attrition,/User Folders/user111/Dashboards,WebI,1,2023-07-24 09:19:00,3,Move HANA ALL,U_HR_MASTER,CV_HR
user68,GL Trial Balance,/SAP Template/Inventory,WebI,0,2024-02-05 20:28:00,8,XYZ,U_MANUFACTURING,CV_CAP
user69,Production Plan,/User Folders/user69/Dashboards,Crystal,1,2025-11-26 06:19:00,17,Move HANA ALL,U_SALES_ANALYSIS,CV_SLS
user79,GL Trial Balance,/User Folders/user79/Reports,WebI,1,2023-05-23 15:10:00,7,API_GATEWAY,U_FINANCIALS,
user94,Production Plan 15,/SAP Template/Finance,WebI,0,2025-03-29 07:21:00,12,HANA_CONN2,U_HR_MASTER,CV_HR
user118,Capacity Planning,/User Folders/user118/Reports,Crystal,0,2025-01-26 07:10:00,7,ORACLE_LINK,U_FINANCIALS,CV_FIN
user35,Customer Insights 9,/User Folders/user35/Analysis,Crystal,1,2025-03-16 22:55:00,8,Move HANA ALL,U_FINANCIALS,CV_FIN
user211,Forecast Report,/SAP Template/Finance,Crystal,0,2023-03-29 20:14:00,8,XYZ,U_MANUFACTURING,CV_CAP
user112,HR Attrition,/SAP Template/Sales,Crystal,0,2024-01-07 23:11:00,9,ECC_CONN,U_PRODUCTION,
user233,GL Trial Balance,/User Folders/user233/Analysis,Crystal,0,2024-06-03 07:31:00,1,Move HANA ALL,U_INVENTORY,CV_INV
user59,PO Details,/SAP Template/Sales,Crystal,1,2024-05-31 01:45:00,17,EXT_REPORT_CONN,U_INVENTORY,
user70,Production Plan,/User Folders/user70/Analysis,WebI,0,2024-04-11 21:36:00,8,LEGACY_SYS,U_SALES_ANALYSIS,
user5,Ticket Dashboard,/User Folders/user5/Analysis,Crystal,0,2024-03-03 05:15:00,8,API_GATEWAY,U_INVENTORY,
user44,Production Plan,/User Folders/user44/Dashboards,Crystal,1,2023-06-30 21:15:00,7,XYZ,U_SALES_ANALYSIS,CV_SLS
user134,Ticket Dashboard,/SAP Template/Inventory,WebI,0,2025-09-14 09:31:00,1,LEGACY_SYS,U_FINANCIALS,
user210,Sales Summary,/User Folders/user210/Dashboards,WebI,0,2024-03-29 20:31:00,21,Move HANA ALL,U_MANUFACTURING,CV_CAP
user176,Ticket Dashboard,/User Folders/user176/Reports,WebI,1,2024-07-24 20:08:00,1,BW HANA ALL,U_HR_MASTER,CV_HR
user242,PO Details 10,/User Folders/user242/Analysis,WebI,1,2024-12-07 15:22:00,14,EXT_REPORT_CONN,U_HR_MASTER,
user241,HR Attrition,/User Folders/user241/Dashboards,Crystal,0,2023-04-02 20:18:00,1,EXT_REPORT_CONN,U_INVENTORY,
user47,Sales Summary,/SAP Template/Inventory,WebI,0,2024-03-08 04:22:00,95,BW HANA ALL,U_FINANCIALS,CV_FIN
user119,Inventory Snapshot 2,/SAP Template/Finance,Crystal,0,2024-01-23 16:18:00,14,Move HANA ALL,U_PRODUCTION,CV_PROD
