InfoCube,Version,Object Status,Content Release,Content Timestamp,Owner,BW Application,INFOAREA,Cube Type,Cube Sub Type
ZZ_CUBE,M,INA,,0,,BW,Z_JANVI,B,F
ZVICOM_IC,A,ACT,,0,,BW,ZVICKY_TRANSDATA,B,F
ZVICOM_IC,M,ACT,,0,,BW,ZVICKY_TRANSDATA,B,F
ZVI_FIMP,A,ACT,,0,,BW,ZVIKASVICKY,M,
ZVI_FIMP,M,ACT,,0,,BW,ZVIKASVICKY,M,
ZVI_DOC1,A,ACT,,0,,BW,ZVIKASVICKY,B,F
ZVI_DOC1,M,ACT,,0,,BW,ZVIKASVICKY,B,F
ZVI_DOC,A,ACT,,0,,BW,ZVIKASVICKY,B,F
ZVI_DOC,M,ACT,,0,,BW,ZVIKASVICKY,B,F
ZTGLIC,A,ACT,,0,,BW,ZTGLIA,B,F
ZTGLIC,M,ACT,,0,,BW,ZTGLIA,B,F
ZSTD_IC,A,ACT,,0,,BW,KALYAN,B,F
ZSTD_IC,M,ACT,,0,,BW,KALYAN,B,F
ZSICV_AV,A,ACT,,0,,BW,ZIA_AV,B,F
ZSICV_AV,M,ACT,,0,,BW,ZIA_AV,B,F
ZSICE_AV,A,ACT,,0,,BW,ZIA_AV,B,F
ZSICE_AV,M,ACT,,0,,BW,ZIA_AV,B,F
ZSIC27,A,ACT,,0,,BW,ZCUS26,B,F
ZSIC27,M,ACT,,0,,BW,ZCUS26,B,F
ZSIC_FL,A,ACT,,0,,BW,ZIA_AV,B,F
ZSIC_FL,M,ACT,,0,,BW,ZIA_AV,B,F
ZSIC_FD,A,ACT,,0,,BW,ZIA_AV,B,F
ZSIC_FD,M,ACT,,0,,BW,ZIA_AV,B,F
ZSIC_COMP,A,ACT,,0,,BW,ZIA_AV,B,F
ZSIC_COMP,M,ACT,,0,,BW,ZIA_AV,B,F
ZSIC_AV,A,ACT,,0,,BW,ZIA_AV,B,F
ZSIC_AV,M,ACT,,0,,BW,ZIA_AV,B,F
ZRIC2,A,ACT,,0,,BW,ZCUS26,B,F
ZRIC2,M,ACT,,0,,BW,ZCUS26,B,F
ZRIC1,A,ACT,,0,,BW,ZCUS26,B,F
ZRIC1,M,ACT,,0,,BW,ZCUS26,B,F
ZREAL_IC,A,ACT,,0,,BW,ZVIKASVICKY,B,F
ZREAL_IC,M,ACT,,0,,BW,ZVIKASVICKY,B,F
ZQN_YEAR,A,ACT,,0,,BW,ZN_US_CANDY,B,F
ZQN_YEAR,M,ACT,,0,,BW,ZN_US_CANDY,B,F
ZQN_PCND,A,ACT,,0,,BW,ZN_US_CANDY,B,F
ZQN_PCND,M,ACT,,0,,BW,ZN_US_CANDY,B,F
ZQN_ACND1,A,ACT,,0,,BW,ZN_US_CANDY,B,F
ZQN_ACND1,M,ACT,,0,,BW,ZN_US_CANDY,B,F
ZQN_ACND,A,ACT,,0,,BW,ZN_US_CANDY,B,F
ZQN_ACND,M,ACT,,0,,BW,ZN_US_CANDY,B,F
ZPAIOC24,M,INA,,0,,BW,ZPAVIINFA24,B,F
ZN_CUBE1,A,ACT,,0,,BW,ZNIRAV,B,F
ZN_CUBE1,M,ACT,,0,,BW,ZNIRAV,B,F
ZMSHMPR12,A,ACT,,0,,BW,ZMATERIAL,M,
ZMSHMPR12,M,ACT,,0,,BW,ZMATERIAL,M,
ZMSHMPR,A,ACT,,0,,BW,ZSALES,M,
ZMSHMPR,M,ACT,,0,,BW,ZSALES,M,
ZMSH_SAL,A,ACT,,0,,BW,ZSALES,B,F
ZMSH_SAL,M,ACT,,0,,BW,ZSALES,B,F
