User,Calculation View,Used In Webi,Last Execution Date,Execution Count
user25,CV_SLS,Yes,05-12-2024 06:51,1
user191,CV_FIN,Yes,27-05-2023 14:41,5
user156,CV_HR,Yes,11-01-2023 17:46,13
user233,CV_INV,Yes,06-04-2025 02:33,1
user112,CV_PO,Yes,26-03-2024 14:05,12
user143,CV_PROD,Yes,29-02-2024 18:41,10
user129,CV_SERV,Yes,02-09-2024 01:44,6
user87,CV_CAP,Yes,22-09-2024 16:07,21
user23,CV_VIEW_009,No,30-06-2025 03:29,8
user74,CV_VIEW_010,No,15-04-2025 10:00,13
user15,CV_VIEW_011,No,04-09-2024 16:28,23
user201,CV_VIEW_012,No,21-09-2023 09:28,8
user50,CV_VIEW_013,No,01-09-2025 03:29,4
user41,CV_VIEW_014,No,06-08-2023 07:55,8
user188,CV_VIEW_015,No,05-09-2024 14:36,23
user27,CV_VIEW_016,No,04-05-2023 12:10,8
user149,CV_VIEW_017,No,15-10-2024 22:26,2
user130,CV_VIEW_018,No,16-10-2024 18:32,1
user225,CV_VIEW_019,No,22-10-2023 15:17,14
user154,CV_VIEW_020,No,21-10-2024 04:34,9
user219,CV_VIEW_021,No,14-05-2023 14:01,8
user17,CV_VIEW_022,No,04-06-2025 18:42,14
user99,CV_VIEW_023,No,21-03-2024 04:38,1
user18,CV_VIEW_024,No,24-06-2024 12:18,2
user167,CV_VIEW_025,No,28-12-2023 07:03,13
user137,CV_VIEW_026,No,20-03-2023 05:26,24
user201,CV_VIEW_027,No,26-05-2024 11:23,9
user215,CV_VIEW_028,No,04-12-2025 10:04,1
user41,CV_VIEW_029,No,08-09-2025 13:30,8
user170,CV_VIEW_030,No,20-09-2023 07:56,17
user217,CV_VIEW_031,No,26-02-2023 14:05,14
user77,CV_VIEW_032,No,22-07-2024 02:09,17
user37,CV_VIEW_033,No,09-06-2024 20:25,2
user102,CV_VIEW_034,No,27-04-2025 13:21,14
user105,CV_VIEW_035,No,19-10-2024 20:32,19
user212,CV_VIEW_036,No,17-11-2024 01:55,3
user30,CV_VIEW_037,No,06-03-2024 02:41,11
user240,CV_VIEW_038,No,19-05-2025 01:24,20
user103,CV_VIEW_039,No,02-10-2025 06:32,10
user159,CV_VIEW_040,No,19-03-2024 23:07,24
user134,CV_VIEW_041,No,18-05-2023 17:50,22
user68,CV_VIEW_042,No,09-06-2025 19:26,24
user226,CV_VIEW_043,No,29-09-2025 18:40,10
user47,CV_VIEW_044,No,09-08-2025 12:40,5
user246,CV_VIEW_045,No,10-12-2023 04:16,17
user213,CV_VIEW_046,No,07-10-2023 22:13,15
user153,CV_VIEW_047,No,18-12-2024 14:18,6
user174,CV_VIEW_048,No,02-05-2023 18:10,24
user188,CV_VIEW_049,No,06-09-2023 04:08,16
user213,CV_VIEW_050,No,27-05-2025 13:13,13
user241,CV_VIEW_051,No,06-12-2023 15:34,9
user104,CV_VIEW_052,No,16-04-2023 01:07,6
user48,CV_VIEW_053,No,08-05-2024 02:49,6
user220,CV_VIEW_054,No,13-08-2023 17:40,21
user41,CV_VIEW_055,No,02-11-2023 01:37,13
user74,CV_VIEW_056,No,09-11-2024 14:50,11
user248,CV_VIEW_057,No,16-02-2023 07:13,5
user48,CV_VIEW_058,No,31-05-2023 12:46,9
user239,CV_VIEW_059,No,02-02-2025 10:04,22
user51,CV_VIEW_060,No,06-07-2025 03:09,19
user142,CV_VIEW_061,No,22-03-2025 20:25,21
user212,CV_VIEW_062,No,25-06-2023 06:42,17
user142,CV_VIEW_063,No,06-12-2023 17:44,9
user35,CV_VIEW_064,No,27-05-2023 21:41,4
user19,CV_VIEW_065,No,09-04-2023 14:03,21
user185,CV_VIEW_066,No,02-10-2024 21:08,15
user84,CV_VIEW_067,No,17-02-2025 10:25,24
user50,CV_VIEW_068,No,18-02-2025 23:46,13
user116,CV_VIEW_069,No,08-02-2023 19:51,3
user171,CV_VIEW_070,No,15-11-2024 01:17,17
user133,CV_VIEW_071,No,23-12-2023 03:11,25
user41,CV_VIEW_072,No,27-06-2024 10:58,9
user224,CV_VIEW_073,No,28-07-2024 07:33,9
user92,CV_VIEW_074,No,07-08-2025 07:31,5
user30,CV_VIEW_075,No,27-01-2024 09:22,7
user103,CV_VIEW_076,No,12-06-2024 12:54,23
user188,CV_VIEW_077,No,05-04-2023 06:38,22
user217,CV_VIEW_078,No,16-11-2023 21:35,17
user157,CV_VIEW_079,No,28-04-2023 01:08,15
user66,CV_VIEW_080,No,03-01-2023 17:03,16
user32,CV_VIEW_081,No,21-02-2023 15:25,20
user143,CV_VIEW_082,No,14-07-2023 05:13,11
user174,CV_VIEW_083,No,12-12-2025 16:11,3
user169,CV_VIEW_084,No,20-06-2024 04:16,17
user189,CV_VIEW_085,No,27-12-2024 00:03,13
user103,CV_VIEW_086,No,17-08-2025 18:01,1
user139,CV_VIEW_087,No,25-08-2024 12:14,4
user200,CV_VIEW_088,No,16-03-2023 01:26,9
