Calculation View,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
CV_SLS,ZTGLIC,ZD_ACTUA1,ZVIDEPTID,ZVIFI_DS,ZSIC_COMP,,
CV_FIN,ZCUS26,ZDSO_DEL,ZDSO2,0TCTHP24I,ZD_INDSO,,
CV_HR,ZG_GAME,ZSICV_AV,Z_TRNID,A_COMP,ZSDSO_FL,ZBILL_IC,ZCUS2
CV_INV,A_EMPID,Z_DSO3,ZI_INDCUB,,,,
CV_PO,ZCUS2,ZD_ACTUA2,Z_VANGIIC,Z_DSO3,ZSICV_AV,ZBILL_IC,
CV_PROD,ICS2,TESTCB,,,,,
CV_SERV,ZA_DSO,ZS_INFODS,ZCUSTID1,ZSDSO_AV,ZSIC_AV,ZSALES_OH,ZIC4
CV_CAP,TESTCB,ZD_ACTUA2,,,,,
CV_VIEW_009,ZDEL_IC,ZEMP_NO,ZDSO_A_P,ZD_INDSO,0TCTHP24I,,
CV_VIEW_010,ZDEL_IC,ZCUSTID,ZDS_CCUBE,,,,
CV_VIEW_011,ZDSO_EDL,ZDS_CCUBE,,,,,
CV_VIEW_012,ZDSO3,ZD_ACTUA1,TESTCB,Z_DSO3,EMP_TRANS,ZDSOEKBE,ZWDSO_ET
CV_VIEW_013,ZTEST_DS,ZS_INFODS,Z_CUBE1,ZDSO_FD,ZRIC1,ZTGLIC,ZMSH_DSO
CV_VIEW_014,ZCUS123,ZA_DSO,,,,,
CV_VIEW_015,ZDSO_A_P,ZIC322,ZI_INDCUB,ZG_SALESS,,,
CV_VIEW_016,ZBILL_DS,ZWDSO_ET,ZDS_RANA,ZIC07,ZDSOEKBE,,
CV_VIEW_017,ZDSOEKBE,Z_SIDSO,CALS,,,,
CV_VIEW_018,TESTCB,,,,,,
CV_VIEW_019,ZCN_FAREA,,,,,,
CV_VIEW_020,ZEIC_AV,CUSID,ZCN_FCUR,ZQN_ACNDY,ZIC_ET,ZS_INFODS,ZSDSO_AV
CV_VIEW_021,ZMRC2DSO,ZDLVR_DS,ZWDSO_AV,ZCUS1,,,
CV_VIEW_022,ZDSO4,ZCN_G2K,ZSICE_AV,,,,
CV_VIEW_023,ZM_CSALES,ZVI_DOC,ZPRODKT1,ZCN_FAREA,,,
CV_VIEW_024,ZPDTID_AV,ZCN_G2K,,,,,
CV_VIEW_025,ZQN_YEAR,ZCUS26,ZJ_CLDSO,A_EMPID,ZMRC2DSO,,
CV_VIEW_026,ZSIC_FD,LTSTID,ZD_ACTUA2,ZIC_ET,ICS1,,
CV_VIEW_027,Z_DSO3,ZCN_G2K,ZVIFI_DS,,,,
CV_VIEW_028,ZDSO_EDL,ZCUS123,,,,,
CV_VIEW_029,LTSTID,ZN_CPRDKY,ZWDSO_AV,ZG_SALESS,ZMATID1,Z_DATA2,ZSDSO_AV
CV_VIEW_030,ZIC26,ZMSH_DSO,ZVIFI_DS,ZDEL_IC,,,
CV_VIEW_031,ZIC_ECUBE,Z_DATA2,0TCTCACHTYP,0CONSUMER,0TCT_C25,,
CV_VIEW_032,ZG_GERCB,,,,,,
CV_VIEW_033,ZQN_ACND,CZD_ACTUA,ZRIC2,ZD_INDSO,,,
CV_VIEW_034,0TCTCACHTYP,,,,,,
CV_VIEW_035,ZVI_DOC,,,,,,
CV_VIEW_036,ZMRC2DSO,ZN_CUBE1,ZD_ACTUA1,,,,
CV_VIEW_037,ZA_DSO,0TCTHP24I,PTSTID,ZWDSO_ET,ZIO_EID,Z_DATA1,
CV_VIEW_038,ZBILL_IC,EMP_TRANS,,,,,
CV_VIEW_039,0TCT_C05,,,,,,
CV_VIEW_040,ZCUSTID,ICS1,,,,,
CV_VIEW_041,ZCN_FCUR,ZTGLDSO,ZA_DSO,ZDSO3,,,
CV_VIEW_042,Z_VANGIIC,,,,,,
CV_VIEW_043,ZDS05,ZM_CANTAR,ZIC_EKBE,ZRIC2,ICS1,MTSTID,
CV_VIEW_044,ZIC26,,,,,,
CV_VIEW_045,ZVIDEPTID,,,,,,
CV_VIEW_046,ZCN_FCTOY,ZDSO_DEL,ZCUS1,,,,
CV_VIEW_047,ZIC07,ZDSO_DEL,MDSTID,ZJ_CLDSO,ZVIDEPTID,ZPRAD7,
CV_VIEW_048,ZDS05,PTSTID,CUSID,ZN_CPRDKY,0TCTCACHTYP,,
CV_VIEW_049,ZDS_RANA,Z_CUBE1,ZG_GERCB1,0TCTHP24I,ZM_CSALES,,
CV_VIEW_050,A_EMPID,ZDSO3,,,,,
CV_VIEW_051,ZMATID,Z_SIDSO,ZSTD_IC,ZDSO_A_P,ZWDSO_ET,ZA_DSO,
CV_VIEW_052,ZM_CSALES,ZI_INDCUB,EMP_TRANS,,,,
CV_VIEW_053,ZCN_0UNIT,ZJ_CLDSO,ZQN_YEAR,ZROLL,0TCT_C05,ZTEST_DS,ZDLVR_DS
CV_VIEW_054,ZMATID,ZSICV_AV,CALS,ZQN_YEAR,,,
CV_VIEW_055,ZTEST_DS,ZVICOM_IC,NEW_OHD,,,,
CV_VIEW_056,ZMRC2DSO,ZMSH_SAL,,,,,
CV_VIEW_057,ZDLVR_DS,ZIC26SF,ZSIC_COMP,NEW_OHD,ZSDSO_FL,,
CV_VIEW_058,NEW_OHD,ZDSO1,ZIC_ECUBE,ZD_ACTUA1,ZROLL,ZJ_CLDSO,TESTCB
CV_VIEW_059,ZQN_ACNDY,ZAV_MDSO,A_EMPID,ZD_INDSO,ZD_ACTUA1,,
CV_VIEW_060,ZSDSO_AV,ZVI_DOC,ZM_CSALES,ZBILL_DS,,,
CV_VIEW_061,ZDSOEKBE,ZSDSO26,,,,,
CV_VIEW_062,ZG_GERCB1,ZQN_ACND1,ZIC_DEL,Z_SIDSO,ZDS_CCUBE,ZMSH_DSO,
CV_VIEW_063,ZIO_EID,,,,,,
CV_VIEW_064,ZM_CANTAR,Z_CUBE,ZIC322,ZN_FRST,ZDSOEKBE,ZD_ACTUA1,ZTEST_DS
CV_VIEW_065,ZCN_FAREA,ZA_IC,PTSTID,ZMRC2DSO,ZMATID1,ZN_CPRDKY,
CV_VIEW_066,ZWDSO_M,ZD_ACTUA2,Z_CUBE,ZRIC2,ZMRC2DSO,ZIO_EID,ZSIC_FD
CV_VIEW_067,ZD_ACTUA2,ZSMID_AV,CZD_ACTUA,ZPRODKT1,ZDSO322,ZTEST_DS,ICS1
CV_VIEW_068,ZBILL_DS,ZDSO_FD,ZSICV_AV,,,,
CV_VIEW_069,ZQN_ACNDY,Z_DATA1,C_ZIC_A_P,ZDSO2,Z_VANDSO,CALS,
CV_VIEW_070,ZM_CANPRO,ZCUS2,,,,,
CV_VIEW_071,A_EMPID,0TCTCACHTYP,,,,,
CV_VIEW_072,ZA_DSO,ZPRODKT1,EMP_TRANS,ZDSOEKBE,ZSMID_AV,,
CV_VIEW_073,Z_VANGIIC,ZN_CTMID,Z_CUBE,,,,
CV_VIEW_074,0TCT_C05,ZVI_DSDC,ZSDSO_AV,CUSID,ZDSO1,ICS1,
CV_VIEW_075,ZDSO322,ZQN_YEAR,ZSICV_AV,,,,
CV_VIEW_076,NEW_OHD,ZCN_G2K,ZCN_FCTOY,ZPRODKT1,,,
CV_VIEW_077,ZDLVR_DS,0TCTHP24I,ZSALES_OH,ZCN_FCTOY,ZEMP_NO,,
CV_VIEW_078,ZCN_G2K,Z_TRNID,,,,,
CV_VIEW_079,ZDS05,ZMATID1,,,,,
CV_VIEW_080,ZIC26SF,Z_DELTAL,ZVICOM_IC,ZCN_FCUR,ZCUS2,,
CV_VIEW_081,Z_SIDSO,ZCN_FCTOY,0TCTCACHTYP,Z_CUBE,ZDSOEKBE,,
CV_VIEW_082,0TCTHP24I,0TCT_C05,ZCN_FAREA,ZRIC1,ZCN_APLAN,ZDSO_A_P,ZVIKAS_OH
CV_VIEW_083,ZDLVR_DS,Z_CUBE1,ZRIC2,ZQN_ACND1,ZBILL_DS,,
CV_VIEW_084,Z_DATA1,ZCN_FAREA,,,,,
CV_VIEW_085,CALS,ZIC_EKBE,ZDSO_A_P,,,,
CV_VIEW_086,C_ZIC_A_P,ZCUSTID,ZDS_RANA,ZQN_ACND1,ZEIC_AV,ZN_CUBE1,
CV_VIEW_087,ZCN_FAREA,Z_DATA2,ZMRC2DSO,,,,
CV_VIEW_088,ZDSO1,EMP_TRANS,ZCUS1,ZVI_COMID,ZEMP_NO,,
CV_VIEW_089,ZMATID1,ZM_CSALES,ZDSO_EDL,ZIC_DEL,ZSIC_COMP,ZPRODKT,
CV_VIEW_090,ZG_SALESS,ZG_GERCB,Z_TRNID,ZVIKAS_OH,0CONSUMER,,
CV_VIEW_091,ZSIC_FD,ZDSO_EDL,ZCN_FCTOY,ZSICV_AV,ZMSH_DSO,Z_CUBE,ZSIC_AV
CV_VIEW_092,ZVIDEPTID,ZEIC_AV,ZIC26,ZN_FRST,ZCUS123,Z_VANGIIC,ZPRODKT
CV_VIEW_093,ZCN_FCUR,ZEIC_AV,,,,,
CV_VIEW_094,C_ZIC_A_P,ZA_DSO,ZSDSO26,,,,
CV_VIEW_095,ZIC_A_P,ZIC4,ZIC07,ZSMID_AV,ZA_DSO,ZK_PRODID,ZVICOM_IC
CV_VIEW_096,ZD_ACTUA1,CALS,,,,,
CV_VIEW_097,ZCUS1,ZG_GERCB1,ZEIC_AV,ZBILL_DS,Z_SIDSO,Z_DELTAL,Z_TRNID
CV_VIEW_098,ZBILL_IC,,,,,,
CV_VIEW_099,ZPRODKT,,,,,,
CV_VIEW_100,ZSMID_AV,,,,,,
