Compute ID ,Version,Provider For Query ,GENUNIID,Component Type ,Query ID,Object Status,READMODE,ABAP Code,Created By ,Generation Time ,Generation Date (Last Execution Time),Last Used By ,Definition Changed Time ,Last Chnaged Date,Last Change Of Query Runtime Obj
003N7L7ESY9JE8KP1VZ8LK0C6,A,ZVIFI_DS,ZVIFI_DS/ZVI_COMFIN_Q001,REP,ZVI_COMFIN_Q001,ACT,H,GP003N7L7ESYA9FLGWUBS6WMZYV,BEST,"2,02,50,40,31,74,651",20250403,BEST,"2,02,50,32,02,13,131",20250320,"2,02,50,40,31,74,651"
003N7L7ESY9JE8KTAPHCUMC4K,A,ZVI_DSDC,ZVI_DSDC/ZVI_DSDC_Q001,REP,ZVI_DSDC_Q001,ACT,H,GP003N7L7ESYA9FOCUD8LFPFGV2,BEST,"2,02,50,50,12,32,528",20250501,BEST,"2,02,50,32,02,13,131",20250320,"2,02,50,50,12,32,528"
003N7L7ESYA7PIDUR6GUKG4XW,A,ZTGLIC,ZTGLIC/ZTGLREPORT,REP,ZTGLREPORT,INA,H,,,0,0,BEST,"2,02,50,61,21,21,920",20250612,0
003N7L7ESYA9FQI5XM4SUI1A9,A,ZST_ODS,ZST_ODS/ZST_QUERY,REP,ZST_QUERY,INA,X,,,0,0,BEST,"2,02,50,52,11,32,023",20250521,0
!!AZRISH,A,ZRISH,ZRISH/!!AZRISH,REP,!!AZRISH,ACT,H,GP003N7L7ESY9HNXUGZN60FOKCN,BEST,"2,02,50,22,51,53,457",20250225,BEST,"2,02,50,22,51,53,457",20250225,"2,02,50,22,51,53,457"
!!1ZQN_ACND1,A,ZQN_ACND1,ZQN_ACND1/!!1ZQN_ACND1,REP,!!1ZQN_ACND1,ACT,H,GP003N7L7ESYA7POALKLB5HO9QA,BEST,"2,02,50,80,50,95,813",20250805,BEST,"2,02,50,80,50,95,813",20250805,"2,02,50,80,50,95,813"
!!1ZQCPN_CND,A,ZQCPN_CND,ZQCPN_CND/!!1ZQCPN_CND,REP,!!1ZQCPN_CND,ACT,H,GP003N7L7ESYA7PS7KDWUK00JJ1,BEST,"2,02,50,91,11,42,539",20250911,BEST,"2,02,50,73,11,51,016",20250731,"2,02,50,91,11,42,539"
003N7L7ESYA9FY5PGP1D0VNVL,A,ZQAN_CNDY,ZQAN_CNDY/ZQQN_CNDY,REP,ZQQN_CNDY,ACT,H,GP003N7L7ESYA7PS7KDVFSW336L,BEST,"2,02,50,91,11,42,538",20250911,BEST,"2,02,50,73,11,50,051",20250731,"2,02,50,91,11,42,538"
003N7L7ESYA9FY5PGP1D0VNVL,M,ZQAN_CNDY,ZQAN_CNDY/ZQQN_CNDY,REP,ZQQN_CNDY,INA,H,,,0,0,BEST,"2,02,50,73,11,50,051",20250731,0
003N7L7ESYA9FY5R90BQANLMM,A,ZQAN_CNDY,ZQAN_CNDY/ZFLN_QCNDY,SOB,ZFLN_QCNDY,ACT,H,GP003N7L7ESYA7PNTDL7VRMQZ2A,BEST,"2,02,50,80,11,43,757",20250801,BEST,"2,02,50,80,11,43,751",20250801,"2,02,50,80,11,43,757"
