OLTP Datasource,Version,Datasource Type,Application Component,Delta,Real Time,EXMETHOD,Table For Extraction,Extractor Structure,Last Changed By ,Last Changed Date,Last Changed Time,TXTSH,TXTMD,TXTLG
ZALT_DS_CO_CSTELM_INTEVAL,A,ATTR,BW,,,F2,ZZRAX_CSTELM_HIERINT,ZALT_CSTHIERINT,BEST,15.05.2025,02:29:42,Cost element,Cost element CPR interval,Cost element CPR interval
ZN_GER_STORE,A,TRAN,0BW_DATASOURCES,,,V,ZNSTORE,ZOXA4H0123,BEST,16.04.2025,17:08:36,Store Data Of GER,Store Data Of GER,Store Data Of GER
ZN_GER_SALES1,A,TRAN,0BW_DATASOURCES,,,V,ZNSALES2,ZOXA4H0127,BEST,16.04.2025,21:25:18,Sales Data Of GER,Sales Data Of GER,Sales Data Of GER
ZN_GER_SALES,A,TRAN,0BW_DATASOURCES,,,V,ZNSALES,ZOXA4H0120,BEST,16.04.2025,17:05:07,Sales Data Of GER,Sales Data Of GER,Sales Data Of GER
ZN_GER_SALE,A,TRAN,0BW_DATASOURCES,,,V,ZNSALE,ZOXA4H0128,BEST,25.04.2025,23:13:45,Sales Data Of GER,Sales Data Of GER,Sales Data Of GER
ZN_GER_PRODUCT,A,TRAN,0BW_DATASOURCES,,,V,ZNPRODUCT,ZOXA4H0121,BEST,16.04.2025,17:06:56,Product Data Of GER,Product Data Of GER,Product Data Of GER
ZN_GER_EXCHANGE1,A,TRAN,0BW_DATASOURCES,,,V,ZNEXCHANGE1,ZOXA4H0125,BEST,16.04.2025,19:48:42,Exchange Rate Data,Exchange Rate Data of GER,Exchange Rate Data of GER
ZN_GER_EXCHANGE,A,TRAN,0BW_DATASOURCES,,,V,ZNEXCHANGE,ZOXA4H0124,BEST,16.04.2025,17:10:14,Exchange Rate Data,Exchange Rate Data of GER,Exchange Rate Data of GER
ZN_GER_CUSTOMER,A,TRAN,0BW_DATASOURCES,,,V,ZNCUSTOMER,ZOXA4H0122,BEST,16.04.2025,17:07:56,Customer Data Of GER,Customer Data Of GER,Customer Data Of GER
ZDEMODS2,A,TRAN,BW,,,V,ZDEMOVIEW,ZOXA4H0134,BEST,23.06.2025,22:07:13,DB view,data ase view,database view ofor light
ZDEMODS3,A,TRAN,BW,,,V,ZDEMOVIEW,ZOXA4H0135,BEST,23.06.2025,22:18:57,DB vIew,DataBase view,db vview fo fliht
YTABLE1_DS,A,ATTR,BW,,,V,YTABLE1,ZOXA4H0130,BEST,15.06.2025,21:58:06,YTABLE1_DS,YTABLE1_DS,YTABLE1_DS
0RT_RMCNDTA_TEXT,A,TEXT,IS-R,,,V,WRMA_T685T,ROXBC50116,BEST,20.03.2025,16:07:44,Text RMA Cond. Type,Text for RMA Condition Type,Text for RMA Condition Type
0RT_RMCNDTA_TEXT,D,TEXT,IS-R,,,V,WRMA_T685T,ROXBC50116,SAP,16.02.2001,13:24:40,Text RMA Cond. Type,Text for RMA Condition Type,Text for RMA Condition Type
0RT_RMA_02,D,TRAN,IS-R,NEWE,,F1,WRMA_RUN_EVALUATION,WRMA_S_EXTRACT_DATA,SAP,23.02.2011,11:13:36,RMA Costing,RMA Costing,RMA Costing
0RT_RMA_03,A,TRAN,IS-R,NEWE,,F1,WRMA_RAW_DATA_EXTRACT,WRMA_S_RAW_DATA_RC,BEST,20.03.2025,16:27:54,RMA: Raw Data RC,RMA: Raw Data Extraction for Recasting,RMA: Raw Data Extraction for Recasting
0RT_RMA_03,D,TRAN,IS-R,NEWE,,F1,WRMA_RAW_DATA_EXTRACT,WRMA_S_RAW_DATA_RC,SAP,23.02.2011,11:13:58,RMA: Raw Data RC,RMA: Raw Data Extraction for Recasting,RMA: Raw Data Extraction for Recasting
0RT_RMA_10,D,ATTR,IS-R-IO,NEWE,,F1,WRMA_OBJECT_EXTRACT,WRMA_S_RCLAS,SAP,14.09.2011,09:43:34,Reclassifications,RMA Reclassifications,RMA Reclassifications
0RT_RMAAPPL_TEXT,D,TEXT,IS-R,,,D,WRMA_KAPPL,ROTEXTSTR1,SAP,16.02.2001,13:26:09,Text for Application,Text for Application,Text for Application
0RT_RMA_11,A,TRAN,IS-R,,,F1,WRMA_HIERARCHY_SNAPSHOT,WRMA_S_HIERARCHY_SNAPSHOT,BEST,20.03.2025,16:08:41,RMA Object Hierarchy,RMA Object Hierarchy Snapshot,RMA Object Hierarchy Snapshot
0RT_RMA_11,D,TRAN,IS-R,,,F1,WRMA_HIERARCHY_SNAPSHOT,WRMA_S_HIERARCHY_SNAPSHOT,SAP,27.08.2009,15:14:41,RMA Object Hierarchy,RMA Object Hierarchy Snapshot,RMA Object Hierarchy Snapshot
0WS_APPL_TEXT,D,TEXT,0CA_SUR-IO,,,V,V_UWS_BW_APPLT,V_UWS_BW_APPLT,SAP,08.03.2002,16:12:35,Applications,Applications,Web Survey: Applications
0IQM_BI_PROC_DTP,D,ATTR,0VERIFICATION,NEWE,X,V,V_RSTCOIQMBIPROC,RSIQMX_DTP,SAP,18.07.2012,14:00:59,IQM Process from DTP,IQM Process from DTP with Error Log,Process from DTP with Error Log (Information Quality)
0SR_COMID_B,D,ATTR,0GLSPEND,,,V,V_RSSOURSYSTEM1,RSSOURSYSTEM,SAP,12.03.2002,16:28:37,CommID,CommID - Master Data,Communication ID - Master Data
0CMSTRAT_TEXT,D,TEXT,IS-R-IO,,,V,V_CMSTRATT_BW,ROXCR30110,SAP,27.09.2001,15:12:24,Strategy,Strategy,Strategy
0CMSKU_ATTR,D,ATTR,IS-R-IO,,,V,V_CMSKU_BW,ROXCR30107,SAP,27.09.2001,08:36:40,SKU,SKU,SKU
0CMROLE_TEXT,D,TEXT,IS-R-IO,,,V,V_CMROLET_BW,ROXCR30109,SAP,27.09.2001,15:10:58,Role,Role,Role
0CMHIER_TEXT,D,TEXT,IS-R-IO,,,V,V_CMHIERT_BW,ROXBC50155,SAP,11.04.2002,10:39:27,CDT Hierarchy,CDT Hierarchy,CDT Hierarchy
0CMHIER_ATTR,D,ATTR,IS-R-IO,,,V,V_CMHIER_BW,ROXBC50154,SAP,12.07.2001,10:49:29,CDT Hierarchy,CDT Hierarchy,CDT Hierarchy
0CMCDT7_TEXT,D,TEXT,IS-R-IO,,,V,V_CMCDT7T_BW,ROXBC50137,SAP,05.02.2004,12:52:29,Brand,Brand,Brand
0CMCDT7_ATTR,A,ATTR,IS-R-IO,,,V,V_CMCDT7_BW,ROXBC50130,BEST,20.03.2025,16:10:55,Brand,Brand,Brand
0CMCDT7_ATTR,D,ATTR,IS-R-IO,,,V,V_CMCDT7_BW,ROXBC50130,SAP,05.02.2004,12:50:43,Brand,Brand,Brand
0CMCDT6_TEXT,D,TEXT,IS-R-IO,,,V,V_CMCDT6T_BW,ROXBC50136,SAP,05.02.2004,12:52:20,Product Group,Product Group,Product Group
0CMCDT6_ATTR,D,ATTR,IS-R-IO,,,V,V_CMCDT6_BW,ROXBC50129,SAP,05.02.2004,12:48:55,Product Group,Product Group,Product Group
0CMCDT5_TEXT,D,TEXT,IS-R-IO,,,V,V_CMCDT5T_BW,ROXBC50135,SAP,05.02.2004,12:52:11,Sub-Subsegment,Sub-Subsegment,Sub-Subsegment
0CMCDT5_ATTR,D,ATTR,IS-R-IO,,,V,V_CMCDT5_BW,ROXBC50151,SAP,05.02.2004,12:48:44,Sub-Subsegment,Sub-Subsegment,Sub-Subsegment
0CMCDT4_TEXT,D,TEXT,IS-R-IO,,,V,V_CMCDT4T_BW,ROXBC50134,SAP,05.02.2004,12:52:02,Subsegment,Subsegment,Subsegment
0CMCDT4_ATTR,D,ATTR,IS-R-IO,,,V,V_CMCDT4_BW,ROXBC50124,SAP,05.02.2004,12:48:25,Subsegment,Subsegment,Subsegment
0CMCDT3_TEXT,D,TEXT,IS-R-IO,,,V,V_CMCDT3T_BW,ROXBC50133,SAP,05.02.2004,12:51:53,Segment,Segment,Segment
0CMCDT3_ATTR,D,ATTR,IS-R-IO,,,V,V_CMCDT3_BW,ROXBC50123,SAP,05.02.2004,12:47:59,Segment,Segment,Segment
0CMCDT2_TEXT,D,TEXT,IS-R-IO,,,V,V_CMCDT2T_BW,ROXBC50132,SAP,05.02.2004,12:51:41,Subcategory,Subcategory,Subcategory
0CMCDT2_ATTR,D,ATTR,IS-R-IO,,,V,V_CMCDT2_BW,ROXBC50122,SAP,05.02.2004,12:47:41,Subcategory,Subcategory,Subcategory
0CMCDT1_TEXT,A,TEXT,IS-R-IO,,,V,V_CMCDT1T_BW,ROXBC50131,BEST,20.03.2025,15:59:44,Category,Category,Category
0CMCDT1_TEXT,D,TEXT,IS-R-IO,,,V,V_CMCDT1T_BW,ROXBC50131,SAP,05.02.2004,12:51:00,Category,Category,Category
0CMCDT1_ATTR,A,ATTR,IS-R-IO,,,V,V_CMCDT1_BW,ROXBC50152,BEST,20.03.2025,16:23:45,Category,Category,Category
0CMCDT1_ATTR,D,ATTR,IS-R-IO,,,V,V_CMCDT1_BW,ROXBC50152,SAP,05.02.2004,12:47:22,Category,Category,Category
0BP_ROLES_ATTR,D,ATTR,0CA_BP-IO,AIM,,V,V_BUT100_BW,BUS100_BW,SAP,01.02.2005,08:22:18,SAP BP: Roles,SAP BP: Partner Roles,SAP BP: Partner Roles
0BP_IND_SECTOR_ATTR,D,ATTR,0CA_BP-IO,AIM,,V,V_BUT0IS_BW,BUS0IS_BW,SAP,01.02.2005,08:21:47,BP: Industry (Def.),BP: Industry (Default Value),BP: Industry (Default Value)
0BP_IS_ATTR,D,ATTR,0CA_BP-IO,AIM,,V,V_BUT0IS_ALL_BW,BUS0IS_BW,SAP,01.02.2005,08:21:39,BP: Industries,BP: Industries of Business Partner,BP: Industries of Business Partner
0BP_ID_ATTR,D,ATTR,0CA_BP-IO,AIM,,V,V_BUT0ID_BW,BUS0ID_BW,SAP,01.02.2005,08:21:24,BP: ID Numbers,BP: Identification Numbers,Business Partners: Identification Numbers
0BP_BANK_ATTR,D,ATTR,0CA_BP-IO,AIM,,V,V_BUT0BK_BW,BUS0BK_BW,SAP,01.02.2005,08:20:52,SAP BP: Bank Data,SAP BP: BW Extraction Bank Data,SAP BP: BW Extraction Bank Data
0BP_GRP_TEXT,D,TEXT,0CA_BP-IO,A,,V,V_BUT_HIER_NT_BW,BUS_HIER_NT_BW,SAP,25.09.2003,17:03:26,BP:Group (Hierarchy),BP: Group from Hierarchy,BP: Business Partner Group from Hierarchy
0BP_GRP_ATTR,D,ATTR,0CA_BP-IO,A,,V,V_BUT_HIER_ND_BW,BUS_HIER_ND_BW,SAP,25.09.2003,17:04:20,BP:Group (Hierarchy),BP: Group from Hierarchy,BP: Business Partner Group from Hierarchy
0BP_STABUPSYS2_TEXT,D,TEXT,0CA_BP-IO,,,V,V_BUPSYS2_BW,BUS_STATUSTEXT_BW,SAP,28.08.2002,09:06:58,BP: Release,BP: Release Status,BP: Release of Business Partners Status
0BP_STABUPSYS1_TEXT,D,TEXT,0CA_BP-IO,,,V,V_BUPSYS1_BW,BUS_STATUSTEXT_BW,SAP,28.08.2002,09:06:57,BP: Central Lock,BP: Central Lock Status,BP: Central Lock of Business Partners Status
0BP_STABUPSYS0_TEXT,D,TEXT,0CA_BP-IO,,,V,V_BUPSYS0_BW,BUS_STATUSTEXT_BW,SAP,28.08.2002,09:06:57,BP: Archive/Delete,BP: Archive/Delete Status,BP: Archive/Delete Status of Business Partners
0WS_STATUS_TEXT,D,TEXT,0CA_SUR-IO,,,D,UWS_BW_STATUS,ROTEXTSTR1,SAP,08.03.2002,16:13:50,Question Status,Question Status,Web Survey: Question Status
0WS_KFIGTYP_TEXT,D,TEXT,0CA_SUR-IO,,,D,UWS_BW_KFIGTYP,ROTEXTSTR1,SAP,15.03.2002,15:17:53,Key Figure Types,Key Figure Types,Web Survey: Key Figure Types
0WS_TAROBJ_TEXT,D,TEXT,0CA_SUR-IO,,,F1,UWS_BW_EX_WS_TAROBJ_TEXT,UWS_S_BW_WS_TAROBJ_TEXT,SAP,08.03.2002,16:14:59,Recipient,Recipient,Web Survey: Recipient
0WS_TAROBJ_ATTR,D,ATTR,0CA_SUR-IO,,,F1,UWS_BW_EX_WS_TAROBJ_ATTR,UWS_S_BW_WS_TAROBJ_ATTR,SAP,08.03.2002,16:14:25,Recipient,Recipient,Web Survey: Recipient
0WS_SURVEY_TEXT,D,TEXT,0CA_SUR-IO,,,F1,UWS_BW_EX_WS_SURVEY_TEXT,UWS_S_BW_WS_SURVEY_TEXT,SAP,08.03.2002,16:14:07,Survey,Survey,Web Survey: Survey
0WS_QUEST_TEXT,D,TEXT,0CA_SUR-IO,,,F1,UWS_BW_EX_WS_QUEST_TEXT,UWS_S_BW_WS_QUEST_TEXT,SAP,08.03.2002,16:13:28,Questions,Questions,Web Survey: Questions
0WS_QSTNNR_TEXT,D,TEXT,0CA_SUR-IO,,,F1,UWS_BW_EX_WS_QSTNNR_TEXT,UWS_S_BW_WS_QSTNNR_TEXT,SAP,08.03.2002,16:13:12,Questionnaire,Questionnaire,Web Survey: Questionnaire
