Request ID,User Define Status,Techinical Status,Target Status,DTP,Created On ,Created Date,Last Changed By ,Start Time ,Finish Time ,Last Execution Time,Lines Read,Lines Transferred,Source,Source Type,Target,Target Type,PROCESSMODE,Request ID
9,2,2,2,DTP_18QV6XXFT0VN2XAX5DQDWS5OW,"2,02,50,10,71,73,938",20250107,BEST,"2,02,50,10,71,73,937.90","2,02,50,10,71,74,034.50",20250107,6,6,0TCTCACHTYP_TEXT              BW75S4H001,DTASRC,0TCTCACHTYP,IOBJT,1,DTPR_5E9MQ7YSFKXFWMHFK0W323YWD
17,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,10,71,93,105.80","2,02,50,10,71,93,141.00",20250107,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_4TVMXTN845KX75KYJ97WVSJN1
20,3,3,3,DTP_18QV6XXFT0VN2XAX5MPTHHSK0,"2,02,50,10,81,85,545",20250108,BEST,"2,02,50,10,81,85,544.90","2,02,50,10,81,85,621.80",20250108,688,0,0TCT_DS25                     BW75S4H001,DTASRC,0TCT_C25,CUBE,1,DTPR_D7YP3WNBEKNBHSCX2TI973GJ1
27,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,10,81,93,034.40","2,02,50,10,81,93,038.90",20250108,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_4KUR0DZ3R0ATUD6P7LX0IR7N1
34,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,10,91,93,034.40","2,02,50,10,91,93,037.90",20250109,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_8HIOSBEAA773BP7R92PK43O8D
41,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,01,93,035.80","2,02,50,11,01,93,039.70",20250110,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_BSTKCCYKAAK7UXPMIQBGRANOT
48,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,11,93,039.40","2,02,50,11,11,93,043.20",20250111,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_27K74YNVVC8KEDWULRAG2V2P9
55,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,21,93,038.10","2,02,50,11,21,93,041.80",20250112,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_51P2GD5MPY46BC0YBV67YL371
62,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,31,93,039.70","2,02,50,11,31,93,043.30",20250113,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_4TDYE56Z1EYI8BN4LYKVO0FAL
69,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,51,20,719.70","2,02,50,11,51,20,729.30",20250115,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_8JYTBJ6SZBINQ30FXZX71QSTP
72,4,4,4,DTP_18QV6XXFT0VN2XAX5MPTHHSK0,"2,02,50,10,81,85,545",20250108,BEST,"2,02,50,11,51,73,644.50",0,20250115,0,0,0TCT_DS25                     BW75S4H001,DTASRC,0TCT_C25,CUBE,,DTPR_EVZC0DICJMZO5RA1721I02OOD
79,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,51,93,101.10","2,02,50,11,51,93,104.30",20250115,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_CIRH8SKKVW5LCL8274F9HEWKT
86,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,61,93,102.40","2,02,50,11,61,93,104.90",20250116,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_21J7TEUZW7PVQGOV39RE64O6L
93,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,71,93,104.40","2,02,50,11,71,93,107.50",20250117,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_82W3RLDKLMHJGA1NA1C2WUC8D
100,2,2,2,DTP_18QV6XXFT0VN2XAX5HFBAFF0W,"2,02,50,10,71,93,105",20250107,BEST,"2,02,50,11,81,93,105.60","2,02,50,11,81,93,109.80",20250118,2,2,0TCT_DS05                     BW75S4H001,DTASRC,0TCT_C05,CUBE,1,DTPR_BXCMACGPJIFPU900TGUDT273H
