Datasource,Source System,Version,Object Status,Data Source Type ,Application Name ,Delta,Real Time,Time Dependent Data,Language Dependent Data,Content Release ,Content Timestamp ,Last User By ,Last Used TimeStamp,Last Used Date,TXTMD,TXTLG
ZY_WATER,NEW FLAT,A,ACT,D,ZWORLDOMETER,,,,,,0,BEST,"2,02,50,82,50,95,625",20250825,Y Water Usage,Y Water Usage
ZY_WATER,NEW FLAT,M,ACT,D,ZWORLDOMETER,,,,,,0,BEST,"2,02,50,82,50,95,612",20250825,Y Water Usage,Y Water Usage
ZWORLDOMETER,NEW FLAT,A,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,70,81,12,840",20250708,Worldometer,Worldometer Data
ZWORLDOMETER,NEW FLAT,M,ACT,M,ZTEST,,,,,,0,BEST,"2,02,50,70,81,12,828",20250708,Worldometer,Worldometer Data
ZWATER_USAGE,NEW FLAT,A,ACT,D,ZWORLDOMETER,,,,,,0,BEST,"2,02,50,80,41,12,553",20250804,Water Usage,Water Usage
ZWATER_USAGE,NEW FLAT,M,ACT,D,ZWORLDOMETER,,,,,,0,BEST,"2,02,50,80,41,12,540",20250804,Water Usage,Water Usage
ZVTDD_DSO,ZFF_AV,A,ACT,D,ZAPPCOMP_AV,FIL0,,,,,0,BEST,"2,02,50,21,40,21,922",20250214,TransData full delta load,TransData full delta load DS
ZVTDD_DSO,ZFF_AV,M,ACT,D,ZAPPCOMP_AV,FIL0,,,,,0,BEST,"2,02,50,21,40,21,910",20250214,TransData full delta load,TransData full delta load DS
ZVTD_WDSO,ZFF_AV,A,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,30,53,710",20250213,DS for WODSO,DS for WODSO
ZVTD_WDSO,ZFF_AV,M,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,30,53,658",20250213,DS for WODSO,DS for WODSO
ZVTD_DS,ZFF_AV,A,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,22,40,90,514",20250224,DS for Daily File load,DS for Daily File load
ZVTD_DS,ZFF_AV,M,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,22,40,90,501",20250224,DS for Daily File load,DS for Daily File load
ZVNO_AV_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,235",20250521,,Vehicle Id
ZVMK_AV_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,235",20250521,,Vehicle Make AV
ZVMDL_AV_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,235",20250521,,Vehicle Model AV
ZVIKAS_F,BW75S4H003,M,,D,,,,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,ALL SALES DATA
ZVIDEPTID_T,BW75S4H003,M,,T,,,,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,DEPARTMENT ID
ZVIDEPTID_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,DEPARTMENT ID
ZVICOM_IC_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,COMPANY FIN INFO CUBE
ZVI_VIR_IC1,ZVI_SRC,A,ACT,D,ZVI_COM_FIN_APP,,,,,,0,BEST,"2,02,50,22,62,30,903",20250226,VIRTUAL INFO CUBE,VIRTUAL INFO CUBE
ZVI_VIR_IC1,ZVI_SRC,M,ACT,D,ZVI_COM_FIN_APP,,,,,,0,BEST,"2,02,50,22,62,30,849",20250226,VIRTUAL INFO CUBE,VIRTUAL INFO CUBE
ZVI_DOC1_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,DOCUMENT INFO CUBE1
ZVI_DOC_F,BW75S4H003,M,,D,,ADDD,X,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,DOCUMENT INFO CUBE
ZVI_DOC_DS,ZCUST_MAT,A,ACT,D,ZVI_DOC_APP,FIL0,,,,,0,BEST,"2,02,50,41,01,10,501",20250410,DOCUMENT DATA FOR INFO,DOCUMENT DATA FOR INFORMATION
ZVI_DOC_DS,ZCUST_MAT,M,ACT,D,ZVI_DOC_APP,FIL0,,,,,0,BEST,"2,02,50,41,01,10,454",20250410,DOCUMENT DATA FOR INFO,DOCUMENT DATA FOR INFORMATION
ZVI_DEPT_DS,ZVI_SRC,A,ACT,M,ZVI_COM_FIN_APP,,,,,,0,BEST,"2,02,50,22,61,54,629",20250226,DEPARTMENT MASTER DATA,DEPARTMENT MASTER DATA
ZVI_DEPT_DS,ZVI_SRC,M,ACT,M,ZVI_COM_FIN_APP,,,,,,0,BEST,"2,02,50,22,61,54,617",20250226,DEPARTMENT MASTER DATA,DEPARTMENT MASTER DATA
ZVI_COMID_T,BW75S4H003,M,,T,,,,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,COMPANY ID
ZVI_COMID_P,BW75S4H003,M,,M,,,,,,,0,BEST,"2,02,50,52,11,05,234",20250521,,COMPANY ID
ZVI_COM_TRNS_DATA,ZVI_SRC,A,ACT,D,ZVI_COM_FIN_APP,,,,,,0,BEST,"2,02,50,22,61,64,001",20250226,COMPANY ALL FINANCE DATA,COMPANY ALL FINANCE DATA
ZVI_COM_TRNS_DATA,ZVI_SRC,M,ACT,D,ZVI_COM_FIN_APP,,,,,,0,BEST,"2,02,50,22,61,63,948",20250226,COMPANY ALL FINANCE DATA,COMPANY ALL FINANCE DATA
ZVI_COM_DS,ZVI_SRC,A,ACT,M,ZVI_COM_FIN_APP,,,,,,0,BEST,"2,02,50,22,61,53,420",20250226,COMPANY MASTER DATA,COMPANY MASTER DATA
ZVI_COM_DS,ZVI_SRC,M,ACT,M,ZVI_COM_FIN_APP,,,,,,0,BEST,"2,02,50,22,61,53,407",20250226,COMPANY MASTER DATA,COMPANY MASTER DATA
ZVDS_AV,ZFF_AV,A,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,30,60,23,607",20250306,Vehicle DS,Vehicle DS
ZVDS_AV,ZFF_AV,M,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,30,60,23,554",20250306,Vehicle DS,Vehicle DS
ZVDC_DS,ZFF_AV,A,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,50,02,143",20250215,Data Compression DS,Data Compression DS
ZVDC_DS,ZFF_AV,M,ACT,D,ZAPPCOMP_AV,,,,,,0,BEST,"2,02,50,21,50,02,131",20250215,Data Compression DS,Data Compression DS
ZVBA_KP1,T90CLNT090,M,INA,D,DM,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,Sales Orders real,Sales Orders real
ZVBA_KP_CHTM,T90CLNT090,M,INA,D,AP266,ADD,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,VBAK+VBAP HP Extractor,VBAK+VBAP HP Extractor
ZV_VENKAT_DS,ZFLAT_FILE,M,,D,ZVENKAT_APPLICATION,,,,,,0,BEST,"2,02,50,62,71,71,246",20250627,Venkat Application,Venkat Application component
ZUS_GLT0,T90CLNT090,M,INA,D,DM-IO,,,,,,0,BEST,"2,02,50,70,40,94,205",20250704,GL transaction,GL transaction
ZUNDERNOURISHED_PEOPLE,FFPVR,A,ACT,D,ZWORLDOMETER,,,,,,0,BEST,"2,02,50,82,51,02,152",20250825,Undernourished,Undernourished people data
ZUNDERNOURISHED_PEOPLE,FFPVR,M,ACT,D,ZWORLDOMETER,,,,,,0,BEST,"2,02,50,82,51,02,139",20250825,Undernourished,Undernourished people data
ZTXTAC,ZPAVI,A,ACT,T,ZPAVIAC24,,,,,,0,BEST,"2,02,50,80,50,93,157",20250805,TXTAC,TXTApplication Com[onent for Txt Data
ZTXTAC,ZPAVI,M,ACT,T,ZPAVIAC24,,,,,,0,BEST,"2,02,50,80,50,93,141",20250805,TXTAC,TXTApplication Com[onent for Txt Data
ZTGLDS,ZTGLSS,A,ACT,D,ZTGLAC,,,,,,0,BEST,"2,02,50,61,12,03,921",20250611,ZTGL MD,ZTGL LD
ZTGLDS,ZTGLSS,M,ACT,D,ZTGLAC,,,,,,0,BEST,"2,02,50,61,12,03,908",20250611,ZTGL MD,ZTGL LD
ZTESTDSO,ZVI_SRC,A,ACT,D,ZVI_COM_FIN_APP,FIL0,,,,,0,BEST,"2,02,50,41,01,32,435",20250410,DS DELTA INTIALIZATION,DS DELTA INTIALIZATION
ZTESTDSO,ZVI_SRC,M,ACT,D,ZVI_COM_FIN_APP,FIL0,,,,,0,BEST,"2,02,50,41,01,32,421",20250410,DS DELTA INTIALIZATION,DS DELTA INTIALIZATION
ZTESTDS,ZCUST_MAT,A,ACT,D,ZTEST,,,,,,0,BEST,"2,02,50,22,01,12,354",20250220,,
