TRANID,OBJVERS,RULEID,SEQNR,GROUPID,GROUPTYPE,FIELD_USAGE,RULETYPE,REF_RULE,AGGR,NO_CONV,AMDP,ABAP
0017X3SSEU4TMTNWZLSCKGWT6MNMUE8M,A,1,2,1,S,,DIRECT,0,MOV,,,
0017X3SSEU4TMTNWZLSCKGWT6MNMUE8M,A,2,3,1,S,,DIRECT,0,MOV,,,
0017X3SSEU4TMTNWZLSCKGWT6MNMUE8M,A,3,4,1,S,,DIRECT,0,,,,
0041UJBGSO212TM9KR4AWV7G300SBZPK,A,1,2,1,S,,DIRECT,0,,,,
0041UJBGSO212TM9KR4AWV7G300SBZPK,A,2,3,1,S,,DIRECT,0,,,,
0041UJBGSO212TM9KR4AWV7G300SBZPK,A,3,4,1,S,,DIRECT,0,SUM,X,,
0041UJBGSO212TM9KR4AWV7G300SBZPK,A,4,5,1,S,,DIRECT,0,SUM,X,,
0041UJBGSO212TM9KR4AWV7G300SBZPK,A,5,6,1,S,,DIRECT,0,SUM,X,,
0041UJBGSO212TM9KR4AWV7G300SBZPK,A,6,7,1,S,,TIME,0,,,,
00457CIKHZY0RTRU0QJ5JFZI39JBBCUH,A,1,2,1,S,,DIRECT,0,MOV,,,
00457CIKHZY0RTRU0QJ5JFZI39JBBCUH,A,2,3,1,S,,DIRECT,0,,,,
00457CIKHZY0RTRU0QJ5JFZI39JBBCUH,A,3,4,1,S,,DIRECT,0,,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,1,2,1,S,,DIRECT,0,,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,2,3,1,S,,DIRECT,0,,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,3,4,1,S,,DIRECT,0,,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,4,5,1,S,,DIRECT,0,MOV,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,5,6,1,S,,DIRECT,0,MOV,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,6,7,1,S,,DIRECT,0,MOV,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,7,8,1,S,,DIRECT,0,MOV,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,8,9,1,S,,DIRECT,0,MOV,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,9,10,1,S,,DIRECT,0,MOV,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,10,14,2,T,,DIRECT,0,MOV,,,
0046XTKFK5FSCVE19S8DY9O7JAE4HIE9,A,11,11,1,S,,FORMULA,0,MOV,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,1,2,1,S,,DIRECT,0,,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,2,3,1,S,,DIRECT,0,,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,3,4,1,S,,DIRECT,0,,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,4,5,1,S,,DIRECT,0,,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,5,6,1,S,,DIRECT,0,,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,6,7,1,S,,DIRECT,0,,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,7,8,1,S,,DIRECT,0,,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,8,9,1,S,,DIRECT,0,SUM,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,9,10,1,S,,DIRECT,0,,,,
004UUS3NS0UKDZIFY14YQ7U770HXIIEE,A,10,11,1,S,,DIRECT,0,,,,
005UH3A0NNIO9BINCM10OEP0PRMM64UV,A,1,2,1,S,,CONSTANT,0,,,,
